"Name","Ticker","FundId","Firm Name ID","Firm Name","Branding Name ID","Branding Name","Inception 
Date","Listing Date","Obsolete 
Date","Obsolete 
Type","Merged Into 
Security","Merged into 
Security ID","Converted From Date","Converted From Name","Converted From Date","Converted From Name","Investment Type","US Category Group","Morningstar Category","Index 
Fund","Fund of 
Funds","Active Non Transparent","Tax Managed","Advisor","Domicile","Manager Name","Oldest 
Share Class","Ticker of 
Fund's 
Oldest Share Class","Name of 
Fund's 
Oldest Share Class","Subadvised","Subadvisor","Sustainable Investment Overall 
2023-01","Sustainable Investment Overall","Sustainable Investment - Environmental Sector Overall 
2021-05","Sustainable Investment - ESG Fund Overall 
2021-05","Estimated Share Class Net Flow (Yearly) 
Year2019 
USD","Estimated Share Class Net Flow (Yearly) 
Year2020 
USD","Estimated Share Class Net Flow (Yearly) 
Year2021 
USD","Estimated Share Class Net Flow (Yearly) 
Year2022 
USD","Estimated Share Class Net Flow (Yearly) 
Year2023 
USD","Net Assets - share class (Monthly) 
2019-01 
USD","Net Assets - share class (Monthly) 
2019-02 
USD","Net Assets - share class (Monthly) 
2019-03 
USD","Net Assets - share class (Monthly) 
2019-04 
USD","Net Assets - share class (Monthly) 
2019-05 
USD","Net Assets - share class (Monthly) 
2019-06 
USD","Net Assets - share class (Monthly) 
2019-07 
USD","Net Assets - share class (Monthly) 
2019-08 
USD","Net Assets - share class (Monthly) 
2019-09 
USD","Net Assets - share class (Monthly) 
2019-10 
USD","Net Assets - share class (Monthly) 
2019-11 
USD","Net Assets - share class (Monthly) 
2019-12 
USD","Net Assets - share class (Monthly) 
2020-01 
USD","Net Assets - share class (Monthly) 
2020-02 
USD","Net Assets - share class (Monthly) 
2020-03 
USD","Net Assets - share class (Monthly) 
2020-04 
USD","Net Assets - share class (Monthly) 
2020-05 
USD","Net Assets - share class (Monthly) 
2020-06 
USD","Net Assets - share class (Monthly) 
2020-07 
USD","Net Assets - share class (Monthly) 
2020-08 
USD","Net Assets - share class (Monthly) 
2020-09 
USD","Net Assets - share class (Monthly) 
2020-10 
USD","Net Assets - share class (Monthly) 
2020-11 
USD","Net Assets - share class (Monthly) 
2020-12 
USD","Net Assets - share class (Monthly) 
2021-01 
USD","Net Assets - share class (Monthly) 
2021-02 
USD","Net Assets - share class (Monthly) 
2021-03 
USD","Net Assets - share class (Monthly) 
2021-04 
USD","Net Assets - share class (Monthly) 
2021-05 
USD","Net Assets - share class (Monthly) 
2021-06 
USD","Net Assets - share class (Monthly) 
2021-07 
USD","Net Assets - share class (Monthly) 
2021-08 
USD","Net Assets - share class (Monthly) 
2021-09 
USD","Net Assets - share class (Monthly) 
2021-10 
USD","Net Assets - share class (Monthly) 
2021-11 
USD","Net Assets - share class (Monthly) 
2021-12 
USD","Net Assets - share class (Monthly) 
2022-01 
USD","Net Assets - share class (Monthly) 
2022-02 
USD","Net Assets - share class (Monthly) 
2022-03 
USD","Net Assets - share class (Monthly) 
2022-04 
USD","Net Assets - share class (Monthly) 
2022-05 
USD","Net Assets - share class (Monthly) 
2022-06 
USD","Net Assets - share class (Monthly) 
2022-07 
USD","Net Assets - share class (Monthly) 
2022-08 
USD","Net Assets - share class (Monthly) 
2022-09 
USD","Net Assets - share class (Monthly) 
2022-10 
USD","Net Assets - share class (Monthly) 
2022-11 
USD","Net Assets - share class (Monthly) 
2022-12 
USD","Net Assets - share class (Monthly) 
2023-01 
USD","Net Assets - share class (Monthly) 
2023-02 
USD","Net Assets - share class (Monthly) 
2023-03 
USD","Net Assets - share class (Monthly) 
2023-04 
USD","Net Assets - share class (Monthly) 
2023-05 
USD","Net Assets - share class (Monthly) 
2023-06 
USD","Net Assets - share class (Monthly) 
2023-07 
USD","Net Assets - share class (Monthly) 
2023-08 
USD","Net Assets - share class (Monthly) 
2023-09 
USD","Net Assets - share class (Monthly) 
2023-10 
USD","Net Assets - share class (Monthly) 
2023-11 
USD","Net Assets - share class (Monthly) 
2023-12 
USD"
"MFS Aggressive Growth Allocation 529A","","FSUSA00GDE","0C00001YSB","MFS","BN000009BT","MFS","2002-07-31","","2022-05-20","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Massachusetts Financial Services Company","United States","Joseph C. Flaherty;Natalie I. Shapiro;Benjamin R. Nastou;Erich Shigley;","No","MIAGX","MFS Aggressive Growth Allocation I","No","","No","No","","","-6,282,413.23","3,213,558.35","-204,327.30","","","140,752,832.00","146,089,401.00","149,649,515.00","152,026,674.00","145,773,806.00","155,100,663.00","152,176,408.00","150,848,353.00","152,982,047.00","152,960,864.00","158,149,182.00","164,839,565.00","160,689,762.00","150,234,748.00","134,274,338.00","146,059,153.00","154,645,908.00","158,789,248.00","164,303,074.00","172,052,896.00","169,083,262.00","162,702,918.00","180,495,385.00","193,964,804.00","188,210,740.00","194,627,787.00","202,349,352.00","210,474,141.00","215,527,043.00","218,558,471.00","217,931,601.00","222,837,715.00","214,809,683.00","223,454,696.00","218,049,604.00","229,322,291.00","214,758,377.00","210,492,408.00","234,296,199.00","216,150,703.00","","","","","","","","","","","","","","","","","","","",""
"MFS Aggressive Growth Allocation 529B","","FSUSA00GDE","0C00001YSB","MFS","BN000009BT","MFS","2002-07-31","","2022-03-21","Merged","MFS Aggressive Growth Allocation 529A","US55273G5383","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Massachusetts Financial Services Company","United States","Joseph C. Flaherty;Natalie I. Shapiro;Benjamin R. Nastou;Erich Shigley;","No","MIAGX","MFS Aggressive Growth Allocation I","No","","No","No","","","-1,424,033.58","-1,413,151.47","-1,066,199.44","","","4,392,746.00","4,564,759.00","4,657,589.00","4,486,969.00","4,253,472.00","4,376,446.00","4,150,704.00","3,939,143.00","3,948,947.00","3,804,183.00","3,877,791.00","3,934,541.00","3,687,151.00","3,271,376.00","2,770,470.00","2,797,562.00","2,924,570.00","2,885,637.00","2,868,282.00","2,971,386.00","2,861,994.00","2,573,504.00","2,763,776.00","2,816,605.00","2,510,452.00","2,548,618.00","2,543,286.00","2,517,124.00","2,519,762.00","2,503,702.00","2,284,656.00","2,291,220.00","2,175,441.00","2,188,500.00","2,098,013.00","2,151,644.00","1,845,155.00","1,764,200.00","","","","","","","","","","","","","","","","","","","","","",""
"MFS Aggressive Growth Allocation 529C","","FSUSA00GDE","0C00001YSB","MFS","BN000009BT","MFS","2002-07-31","","2022-03-21","Merged","MFS Aggressive Growth Allocation 529A","US55273G5383","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Massachusetts Financial Services Company","United States","Joseph C. Flaherty;Natalie I. Shapiro;Benjamin R. Nastou;Erich Shigley;","No","MIAGX","MFS Aggressive Growth Allocation I","No","","No","No","","","-5,459,172.88","-10,343,328.65","-3,689,838.84","","","28,391,857.00","28,853,800.00","28,801,888.00","28,860,966.00","27,631,298.00","28,986,142.00","28,093,709.00","27,551,268.00","27,585,146.00","27,190,065.00","27,673,225.00","29,038,549.00","28,679,432.00","26,636,688.00","19,545,428.00","20,730,245.00","21,938,711.00","22,227,951.00","22,588,198.00","23,638,613.00","23,268,883.00","21,454,089.00","23,349,823.00","20,761,390.00","19,512,909.00","19,867,406.00","20,241,463.00","20,815,043.00","21,430,256.00","21,515,430.00","21,127,347.00","21,485,404.00","20,519,346.00","20,538,008.00","19,897,350.00","20,432,536.00","18,529,464.00","17,714,644.00","","","","","","","","","","","","","","","","","","","","","",""
"ICON Equity Income C","","FSUSA04ATJ","0C00001IS5","ICON Funds","BN0000092E","ICON","2002-11-08","","2020-07-10","Merged","ICON Equity Income Fund New Inv{mg}","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","No","No","","Shelton Capital Management","United States","Brian Callahan;Donovan (Jerry) J. Paul;Scott Callahan;","No","IOEZX","ICON Equity Income Institutional","Yes","ICON Advisers Inc","No","No","","","-646,685.80","","","","","17,890,399.00","18,611,126.00","18,248,401.00","19,381,646.00","18,057,814.00","18,506,564.00","18,595,677.00","17,507,909.00","18,244,316.00","18,638,550.00","19,224,391.00","19,489,994.00","19,037,596.00","17,036,412.00","13,262,166.00","14,312,326.00","14,218,277.00","13,915,982.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pacific Funds Port Optim Agrsv-Gr B","","FSUSA04CAY","0C0000CVPY","Aristotle Funds","BN00000J9B","Aristotle Funds","2003-12-31","","2019-07-31","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Aristotle Investment Services, LLC","United States","Howard T. Hirakawa;Carleton J. Muench;Samuel S. Park;Jie ""Edward"" Sheng;","No","POEAX","Aristotle Portfolio Optimization Agr GrA","Yes","Pacific Life Fund Advisors LLC (PLFA)","No","No","","","","","","","","21,357,579.00","21,596,953.00","21,048,905.00","20,766,540.00","19,144,713.00","19,856,168.00","18,777,327.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGIM Growth Allocation A","","FSUSA04YKO","0C00001YZ4","PGIM Investments","BN00000JRF","PGIM","2004-03-30","","2019-06-21","Merged","PGIM Quant Solutions Large-Cap Cor Eq A","US74441J1007","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","PGIM Investments LLC","United States","","No","","PGIM Growth Allocation Z","Yes","PGIM Quantitative Solutions LLC","","","","","","","","","","79,389,503.00","80,749,949.00","81,013,687.00","86,772,920.00","81,206,424.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGIM Growth Allocation B","","FSUSA04YKO","0C00001YZ4","PGIM Investments","BN00000JRF","PGIM","2004-03-30","","2019-06-21","Merged","PGIM QMA Large-Cap Core Equity B","US74441J2096","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","PGIM Investments LLC","United States","","No","","PGIM Growth Allocation Z","Yes","PGIM Quantitative Solutions LLC","","","","","","","","","","5,269,660.00","5,343,764.00","4,856,085.00","4,742,316.00","4,220,194.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGIM Growth Allocation C","","FSUSA04YKO","0C00001YZ4","PGIM Investments","BN00000JRF","PGIM","2004-03-30","","2019-06-21","Merged","PGIM Quant Solutions Large-Cap Cor Eq C","US74441J3086","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","PGIM Investments LLC","United States","","No","","PGIM Growth Allocation Z","Yes","PGIM Quantitative Solutions LLC","","","","","","","","","","14,854,870.00","15,055,292.00","14,932,843.00","11,732,462.00","10,773,446.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGIM Growth Allocation Z","","FSUSA04YKO","0C00001YZ4","PGIM Investments","BN00000JRF","PGIM","2004-03-30","","2019-06-21","Merged","PGIM Quant Solutions Large-Cap Cor Eq Z","US74441J4076","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","PGIM Investments LLC","United States","","Yes","","PGIM Growth Allocation Z","Yes","PGIM Quantitative Solutions LLC","","","","","","","","","","2,224,729.00","2,159,153.00","2,211,672.00","2,288,052.00","2,227,223.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oppenheimer Equity Inv B","","FSUSA069VU","0C00006B4V","Invesco","BN0000094U","Invesco","2005-04-05","","2018-06-01","Merged","Invesco Select Risk: High Growth Inv A","US00900R7136","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Invesco Advisers, Inc.","United States","Jeffrey Bennett;Alessio de Longis;Scott Hixon;","No","OYAIX","Invesco Select Risk: High Growth Inv Y","No","","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pacific Funds Port Optim Agrsv-Gr R","","FSUSA04CAY","0C0000CVPY","Aristotle Funds","BN00000J9B","Aristotle Funds","2005-09-30","","2019-03-22","Merged","Aristotle Portfolio Optimization Agr GrA","US04045F8409","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Aristotle Investment Services, LLC","United States","Howard T. Hirakawa;Carleton J. Muench;Samuel S. Park;Jie ""Edward"" Sheng;","No","POEAX","Aristotle Portfolio Optimization Agr GrA","Yes","Pacific Life Fund Advisors LLC (PLFA)","No","No","","","","","","","","5,752,993.00","5,875,064.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Multi-Asset Focused Gr A","","FSUSA06IO3","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2006-06-30","","2018-07-13","Merged","Lord Abbett Multi-Asset Growth A","US5439166134","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Lord, Abbett & Co LLC","United States","Giulio A. Martini;Robert A. Lee;David B. Ritt;Jeffrey O. Herzog;","No","","Lord Abbett Multi-Asset Focused Gr I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Multi-Asset Focused Gr B","","FSUSA06IO3","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2006-06-30","","2018-04-25","Liquidated","","","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Lord, Abbett & Co LLC","United States","Giulio A. Martini;Robert A. Lee;David B. Ritt;Jeffrey O. Herzog;","No","","Lord Abbett Multi-Asset Focused Gr I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Multi-Asset Focused Gr C","","FSUSA06IO3","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2006-06-30","","2018-07-13","Merged","Lord Abbett Multi-Asset Growth C","US5439165896","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Lord, Abbett & Co LLC","United States","Giulio A. Martini;Robert A. Lee;David B. Ritt;Jeffrey O. Herzog;","No","","Lord Abbett Multi-Asset Focused Gr I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lord Abbett Multi-Asset Focused Gr I","","FSUSA06IO3","0C00001YRZ","Lord Abbett","BN000009AU","Lord Abbett","2006-06-30","","2018-07-13","Merged","Lord Abbett Multi-Asset Growth I","US5439165631","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","Lord, Abbett & Co LLC","United States","Giulio A. Martini;Robert A. Lee;David B. Ritt;Jeffrey O. Herzog;","Yes","","Lord Abbett Multi-Asset Focused Gr I","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marsico Flexible Capital","","FSUSA078SN","0C00001IZK","Marsico Investment Fund","BN000009DQ","Marsico","2006-12-29","","2018-08-03","Merged","Marsico Global","US5730126068","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","No","No","","Marsico Capital Management, LLC","United States","","Yes","","Marsico Flexible Capital","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PGIM Growth Allocation R","","FSUSA04YKO","0C00001YZ4","PGIM Investments","BN00000JRF","PGIM","2007-01-12","","2019-06-21","Merged","PGIM Quant Solutions Large-Cap Cor Eq A","US74441J1007","","","","","Open-End Fund","Allocation","US Fund Aggressive Allocation","No","Yes","No","","PGIM Investments LLC","United States","","No","","PGIM Growth Allocation Z","Yes","PGIM Quantitative Solutions LLC","","","","","","","","","","39,997.00","41,367.00","42,022.00","43,825.00","41,628.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
